timestamp,latency_ms,raw_detection,voted_command,vote_confidence,num_contours_found,candidates_found,detection_rate_pct
1778078846.5244,17.99,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078846.5700,21.86,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078846.6270,28.65,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078846.6707,22.14,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078846.7319,33.64,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078846.7858,37.32,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078846.8345,32.46,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078846.8655,17.34,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078846.9333,34.87,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078847.0006,52.08,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078847.0373,26.60,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078847.0826,34.38,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078847.1193,20.25,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078847.1797,31.16,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078847.2302,31.88,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078847.2859,37.43,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078847.3179,19.81,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078847.3836,35.07,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078847.4363,37.95,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078847.4884,40.28,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078847.5242,24.86,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078847.5815,32.98,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078847.6302,31.74,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078847.6849,36.60,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078847.7338,35.60,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078847.7822,33.93,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078847.8463,47.70,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078847.8927,37.14,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078847.9483,40.96,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078847.9918,32.89,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078848.0457,41.37,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078848.0869,30.36,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078848.1185,19.81,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078848.1936,45.15,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078848.2377,34.97,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078848.2750,24.16,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078848.3486,50.09,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078848.4040,43.14,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078848.4515,35.81,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078848.4893,29.00,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
